["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,primal,dual,solver
2.805178e-01,251,2.51038739018594e-05,1.95831577804848e-01,1.95856681678749e-01,1.94319928511008e-01,1.53675316774179e-03,lamp_kernel
5.612582e-01,501,3.88400185238994e-06,1.95133808768952e-01,1.95137692770804e-01,1.94668158732529e-01,4.69534038275071e-04,lamp_kernel
8.423024e-01,751,1.65151437028059e-06,1.95013535846459e-01,1.95015187360829e-01,1.94757775895710e-01,2.57411465118429e-04,lamp_kernel
1.125819e+00,1001,1.24582288397370e-06,1.94968973025369e-01,1.94970218848253e-01,1.94809966174421e-01,1.60252673831823e-04,lamp_kernel
1.415473e+00,1251,1.12572191984209e-06,1.94947647888366e-01,1.94948773610286e-01,1.94843088090526e-01,1.05685519759896e-04,lamp_kernel
1.708762e+00,1501,6.81061288319479e-07,1.94936618970781e-01,1.94937300032069e-01,1.94856016589067e-01,8.12834430023168e-05,lamp_kernel
1.995475e+00,1751,3.65131575838796e-07,1.94930472644180e-01,1.94930837775756e-01,1.94861258054614e-01,6.95797211419935e-05,lamp_kernel
2.281869e+00,2001,2.19990191336888e-07,1.94926647116847e-01,1.94926867107038e-01,1.94865622051791e-01,6.12450552469612e-05,lamp_kernel
2.568489e+00,2251,1.84269398916834e-07,1.94924016987795e-01,1.94924201257193e-01,1.94871812613642e-01,5.23886435516985e-05,lamp_kernel
2.855028e+00,2501,1.56674163521012e-07,1.94922077673512e-01,1.94922234347676e-01,1.94877266035955e-01,4.49683117211552e-05,lamp_kernel
3.147483e+00,2751,1.40838709317270e-07,1.94920580916959e-01,1.94920721755669e-01,1.94881810537087e-01,3.89112185811002e-05,lamp_kernel
3.440736e+00,3001,1.31030672487583e-07,1.94919389403315e-01,1.94919520433987e-01,1.94885583043637e-01,3.39373903501250e-05,lamp_kernel
3.734235e+00,3251,1.19305765026166e-07,1.94918417749775e-01,1.94918537055540e-01,1.94888762598690e-01,2.97744568507341e-05,lamp_kernel
4.021827e+00,3501,1.03681618463387e-07,1.94917608487421e-01,1.94917712169039e-01,1.94891468336153e-01,2.62438328861303e-05,lamp_kernel
4.309389e+00,3751,8.87288272863303e-08,1.94916921820694e-01,1.94917010549522e-01,1.94893751481825e-01,2.32590676970124e-05,lamp_kernel
4.597002e+00,4001,7.73531040661783e-08,1.94916330224384e-01,1.94916407577488e-01,1.94895649102817e-01,2.07584746702849e-05,lamp_kernel
4.884842e+00,4251,7.08605300585039e-08,1.94915814661134e-01,1.94915885521664e-01,1.94897294891067e-01,1.85906305968653e-05,lamp_kernel
5.172651e+00,4501,6.91729254182717e-08,1.94915361779577e-01,1.94915430952503e-01,1.94898712973469e-01,1.67179790339922e-05,lamp_kernel
5.460967e+00,4751,6.87227425635967e-08,1.94914961964472e-01,1.94915030687214e-01,1.94899929495096e-01,1.51011921187827e-05,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
8.516800e-05,1,1.92079207920792e+00,3.44979046533790e-01,2.26577112574171e+00,0.00000000000000e+00,2.26577112574171e+00,lamp_kernel
2.807766e-01,251,1.12296932218614e-05,2.01140243115900e-01,2.01151472809121e-01,2.00165655673033e-01,9.85817136088446e-04,lamp_kernel
5.612230e-01,501,2.48042600198765e-06,2.00783318477196e-01,2.00785798903198e-01,2.00468978840452e-01,3.16820062746248e-04,lamp_kernel
8.421229e-01,751,1.41831861146977e-06,2.00721789971693e-01,2.00723208290304e-01,2.00575028598519e-01,1.48179691784961e-04,lamp_kernel
1.123139e+00,1001,1.56290742784279e-06,2.00700022707017e-01,2.00701585614445e-01,2.00613467485179e-01,8.81181292662070e-05,lamp_kernel
1.409557e+00,1251,9.82170195871849e-07,2.00690145924324e-01,2.00691128094520e-01,2.00623103757355e-01,6.80243371649347e-05,lamp_kernel
