cross_term_1,cross_term_2,diff,cumsum
5.829902431303634e-10,4.528092944225437e-15,-5.829857150374192e-10,-0.05766955178918179
5.742698309963582e-10,2.9208141503720618e-15,-5.742669101822078e-10,-0.0576695633569471
5.659312853276321e-10,3.6112826247456966e-15,-5.659276740450074e-10,-0.05766957475394356
5.572505220078858e-10,2.8973132693271363e-15,-5.572476246946165e-10,-0.05766958598236926
5.48750826482451e-10,1.1785565240700448e-15,-5.487496479259269e-10,-0.05766959703726879
5.405916085864289e-10,2.1466705097953554e-15,-5.405894619159191e-10,-0.05766960792592344
5.32428686384775e-10,1.783041057930991e-15,-5.324269033437171e-10,-0.05766961865281383
5.241722351236046e-10,6.947115150204401e-16,-5.241715404120895e-10,-0.05766962921404174
5.162325131298938e-10,1.0681395059818994e-15,-5.162314449903878e-10,-0.05766963961367444
5.084540617586113e-10,1.184281935440358e-15,-5.084528774766759e-10,-0.05766964985681053
5.005248425928171e-10,6.579246190867304e-16,-5.00524184668198e-10,-0.057669659942503254
4.928238676055997e-10,4.03082700564445e-16,-4.928234645228992e-10,-0.057669669871725525
